blind_code,prompt_index,condition,word_count
ea87dc69e15a,0,baseline,111
bc550162686a,0,rank3,107
32650c9dfaee,0,rank7,110
4d99c07fe3df,1,baseline,93
ed091c50b8bd,1,rank3,94
14563f816a9f,1,rank7,91
4984f007405a,2,baseline,97
17804c20baf8,2,rank3,99
f568fdf9d3c6,2,rank7,99
b7497a7f5d83,3,baseline,82
7bf7b984411b,3,rank3,82
f37e9686fdc5,3,rank7,73
fb96973125d1,4,baseline,89
3d40f47bbe91,4,rank3,92
20b4ab6e8288,4,rank7,94
afefd4a80a10,5,baseline,106
80fe58d4aa1e,5,rank3,105
63c68606bf56,5,rank7,106
bd6e2009e5f4,6,baseline,87
ddd9db8ac667,6,rank3,91
ee90ef750ad7,6,rank7,86
57a14bfd44d0,7,baseline,90
dca49e499a72,7,rank3,92
d712c27e88e7,7,rank7,94
16075d6e4768,8,baseline,83
beca33afed87,8,rank3,84
cb263264416e,8,rank7,102
8bc7d6939ec0,9,baseline,102
37234ef2a60e,9,rank3,102
fc8972a775fe,9,rank7,102
9044e038fffa,10,baseline,82
b928f2ec916b,10,rank3,83
1c84b3ef7bc8,10,rank7,80
0ecbaa96c8e0,11,baseline,98
1374a0e54b76,11,rank3,98
9d2aa75efc27,11,rank7,98
