blind_code,example_id,source_id,condition,profile_index,alpha,term_hits,term_bank_size,term_coverage,word_count,text
775ffbff4e68,driftgate:domain_expert:test:0,driftgate,domain_expert,0,-2.0,4,5,0.8,69,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To reject outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and discards measurements exceeding a fixed gate threshold. This mechanism ensures robust state estimation by selectively filtering noisy observations while maintaining the standard recursive structure of state-space models."
bf199c4a40b3,driftgate:domain_expert:test:0,driftgate,domain_expert,0,-1.0,4,5,0.8,68,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To reject outliers, it computes the covariance-normalized squared magnitude of the innovation and discards measurements exceeding a fixed gate threshold. This mechanism ensures robust state estimation by selectively filtering noisy observations while maintaining the standard recursive structure of state-space models."
1df307bc69a9,driftgate:domain_expert:test:0,driftgate,domain_expert,0,0.0,4,5,0.8,68,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To reject outliers, it computes the covariance-normalized squared magnitude of the innovation and discards measurements exceeding a fixed gate threshold. This mechanism ensures robust state estimation by selectively filtering noisy observations while maintaining the standard recursive structure of state-space models."
d1836623bdb8,driftgate:domain_expert:test:0,driftgate,domain_expert,0,1.0,4,5,0.8,68,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This gating mechanism effectively filters noisy observations before they influence the state estimate and its covariance propagation."
169eb9eb929b,driftgate:domain_expert:test:0,driftgate,domain_expert,0,2.0,4,5,0.8,68,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This gating mechanism effectively filters noisy observations before they influence the state estimate and its covariance propagation."
0a1d686bedbc,driftgate:domain_expert:test:1,driftgate,domain_expert,1,-2.0,4,5,0.8,70,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This mechanism effectively filters noisy observations while maintaining the state estimate and its covariance through standard Kalman filtering principles."
3e12ec40b11d,driftgate:domain_expert:test:1,driftgate,domain_expert,1,-1.0,4,5,0.8,68,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This mechanism effectively filters noisy observations while maintaining the propagation of state estimates and their associated covariances."
576cec6537db,driftgate:domain_expert:test:1,driftgate,domain_expert,1,0.0,4,5,0.8,69,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This mechanism effectively filters noisy observations while maintaining the propagation of both the state estimate and its covariance."
764db802a906,driftgate:domain_expert:test:1,driftgate,domain_expert,1,1.0,4,5,0.8,68,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This mechanism effectively filters noisy observations while maintaining the propagation of state estimates and their associated covariances."
1e57882dec11,driftgate:domain_expert:test:1,driftgate,domain_expert,1,2.0,4,5,0.8,69,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This mechanism effectively filters noisy observations while maintaining the propagation of both the state estimate and its covariance."
