blind_code,source_id,text,human_technicality_1_to_5,human_correct_0_or_1,human_coherent_0_or_1
ddf6b63a0c42,motifbridge,"MotifBridge aligns protein sequences to family models by utilizing match, insertion, and deletion states at each consensus position, where match states emit amino acids based on position-specific probabilities and transitions model variable-length gaps. To ensure robustness against unseen residues, the model employs pseudocounts to prevent zero probabilities, while the forward algorithm calculates the total alignment probability and Viterbi decoding identifies the single highest-scoring path.",,,
6a3958f6914f,phasenest,"PhaseNest operates in the short-time Fourier domain using a dual-branch architecture where a long-window branch models stable harmonic structure and a short-window branch tracks transients. The system applies bounded complex masks to jointly modify magnitude and phase within each branch, followed by a consistency projection that maps the fused waveform back onto valid overlapping analysis windows before final reconstruction.",,,
39ace0116215,shardbloom,"ShardBloom accelerates immutable database segment lookups by employing a hierarchical Bloom filter structure where each segment's filter bits are set via multiple key hashes. Negative filter results safely skip segments, while positive results trigger exact index lookups to handle inevitable false positives. Bit budgets are dynamically allocated based on observed query rates, ensuring frequently accessed levels maintain lower false-positive probabilities.",,,
bb59a0456405,phasenest,"PhaseNest denoises audio by simultaneously estimating stable harmonic structures and transients through parallel long and short window branches, respectively. The system fuses the resulting magnitude and phase masks using learned time-varying weights and applies a consistency projection to ensure the reconstructed waveform remains valid within the chosen overlapping analysis windows before final overlap-add synthesis.",,,
1e57882dec11,driftgate,"DriftGate estimates a hidden dynamical state by alternating between linear prediction and measurement updates, where the latter incorporates a Kalman-style gain that balances predicted uncertainty against measurement noise. To ensure robustness against outliers, the algorithm computes the covariance-normalized squared magnitude of the innovation and rejects measurements exceeding a fixed gate threshold. This mechanism effectively filters noisy observations while maintaining the propagation of both the state estimate and its covariance.",,,
87fd55c85cc0,quorumweave,"QuorumWeave distributes a signing key across multiple participants via polynomial secret sharing, ensuring no single entity holds the complete secret. Authorization requires a threshold of participants to generate verifiable partial signatures, which are then combined using Lagrange interpolation in the exponent to form a valid aggregate signature. This mechanism guarantees that fewer than the threshold participants cannot reconstruct the key or forge a signature.",,,
f08ea0f1cc42,fluxpatch,"FluxPatch solves conservation laws on locally refined meshes by storing average conserved states per cell and computing numerical fluxes based on neighboring values. To maintain conservation across refinement boundaries, the method replaces coarse face fluxes with the sum of corresponding fine-grid fluxes, a refluxing correction that prevents the creation or destruction of conserved quantities during local time-step adjustments near shocks.",,,
65b2b4216b98,fluxpatch,"FluxPatch solves conservation laws on locally refined meshes by storing average conserved states in each cell and computing numerical fluxes across shared faces. To maintain conservation at coarse-fine boundaries, the method replaces the coarse face flux with the sum of the corresponding fine-grid fluxes, a refluxing correction that prevents artificial creation or destruction of conserved quantities during refinement.",,,
9587c23fc772,phasesar,"PhaseSAR estimates surface displacement by forming interferometric phase differences, removing geometric and topographic contributions, and weighting observations by coherence to guide phase unwrapping along high-quality paths. A weighted least-squares inversion across acquisition pairs subsequently separates the displacement time series from residual atmospheric and measurement errors.",,,
add9d2e1ea71,fluxpatch,"FluxPatch solves conservation laws on locally refined meshes by storing average conserved states per cell and computing numerical fluxes across shared faces. To maintain conservation during refinement, the method replaces coarse-grid face fluxes with the sum of corresponding fine-grid fluxes at boundaries. This refluxing correction ensures that local time step adjustments near shocks do not create or destroy the conserved quantity.",,,
84811297ac32,phasesar,"PhaseSAR estimates surface displacement by computing interferometric phase differences from repeated SAR acquisitions and removing geometric and elevation model artifacts. The algorithm unwraps these phases along high-coherence paths to resolve the modulo ambiguity, followed by a weighted least-squares inversion that isolates the displacement time series from residual atmospheric and measurement noise.",,,
