example_id,source_id,source_role,condition,split,profile_index,technical_label,logp_A,logp_B,technical_margin
resnet:relevant_researcher:train:0:A,resnet,cv,relevant_researcher,train,0,A,-0.00020346954988781363,-8.500203132629395,8.499999663079507
resnet:relevant_researcher:train:0:B,resnet,cv,relevant_researcher,train,0,B,-0.04858732968568802,-3.0485873222351074,-2.9999999925494194
resnet:relevant_researcher:train:1:A,resnet,cv,relevant_researcher,train,1,A,-5.829164365422912e-05,-9.7500581741333,9.749999882489647
resnet:relevant_researcher:train:1:B,resnet,cv,relevant_researcher,train,1,B,-0.38687101006507874,-1.1368709802627563,-0.7499999701976776
resnet:relevant_researcher:train:2:A,resnet,cv,relevant_researcher,train,2,A,-0.0005529781919904053,-7.500553131103516,7.500000152911525
resnet:relevant_researcher:train:2:B,resnet,cv,relevant_researcher,train,2,B,-0.4740769863128662,-0.9740769863128662,-0.5
resnet:relevant_researcher:train:3:A,resnet,cv,relevant_researcher,train,3,A,-0.0024756519123911858,-6.002475738525391,6.000000086612999
resnet:relevant_researcher:train:3:B,resnet,cv,relevant_researcher,train,3,B,-3.0485873222351074,-0.04858732968568802,2.9999999925494194
resnet:relevant_researcher:validation:4:A,resnet,cv,relevant_researcher,validation,4,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
resnet:relevant_researcher:validation:4:B,resnet,cv,relevant_researcher,validation,4,B,-0.06196761503815651,-2.811967611312866,-2.7499999962747097
resnet:relevant_researcher:validation:5:A,resnet,cv,relevant_researcher,validation,5,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
resnet:relevant_researcher:validation:5:B,resnet,cv,relevant_researcher,validation,5,B,-1.5019290447235107,-0.25192904472351074,1.25
resnet:relevant_researcher:test:6:A,resnet,cv,relevant_researcher,test,6,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
resnet:relevant_researcher:test:6:B,resnet,cv,relevant_researcher,test,6,B,-0.1602240949869156,-1.9102240800857544,-1.7499999850988388
resnet:relevant_researcher:test:7:A,resnet,cv,relevant_researcher,test,7,A,-0.0011701886542141438,-6.7511701583862305,6.749999969732016
resnet:relevant_researcher:test:7:B,resnet,cv,relevant_researcher,test,7,B,-0.0009114163694903255,-7.000911235809326,-6.999999819439836
resnet:relevant_researcher:test:8:A,resnet,cv,relevant_researcher,test,8,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
resnet:relevant_researcher:test:8:B,resnet,cv,relevant_researcher,test,8,B,-0.2014133334159851,-1.7014133930206299,-1.5000000596046448
resnet:irrelevant_researcher:train:0:A,resnet,cv,irrelevant_researcher,train,0,A,-0.00026127262390218675,-8.250261306762695,8.250000034138793
resnet:irrelevant_researcher:train:0:B,resnet,cv,irrelevant_researcher,train,0,B,-0.25192904472351074,-1.5019290447235107,-1.25
resnet:irrelevant_researcher:train:1:A,resnet,cv,irrelevant_researcher,train,1,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
resnet:irrelevant_researcher:train:1:B,resnet,cv,irrelevant_researcher,train,1,B,-0.9740769863128662,-0.4740769863128662,0.5
resnet:irrelevant_researcher:train:2:A,resnet,cv,irrelevant_researcher,train,2,A,-0.0031777145341038704,-5.753177642822266,5.749999928288162
resnet:irrelevant_researcher:train:2:B,resnet,cv,irrelevant_researcher,train,2,B,-0.07888974994421005,-2.578889846801758,-2.5000000968575478
resnet:irrelevant_researcher:train:3:A,resnet,cv,irrelevant_researcher,train,3,A,-0.004078404977917671,-5.504078388214111,5.499999983236194
resnet:irrelevant_researcher:train:3:B,resnet,cv,irrelevant_researcher,train,3,B,-3.0485873222351074,-0.04858732968568802,2.9999999925494194
resnet:irrelevant_researcher:validation:4:A,resnet,cv,irrelevant_researcher,validation,4,A,-0.0024756519123911858,-6.002475738525391,6.000000086612999
resnet:irrelevant_researcher:validation:4:B,resnet,cv,irrelevant_researcher,validation,4,B,-0.3132617473602295,-1.3132617473602295,-1.0
resnet:irrelevant_researcher:validation:5:A,resnet,cv,irrelevant_researcher,validation,5,A,-0.0031777145341038704,-5.753177642822266,5.749999928288162
resnet:irrelevant_researcher:validation:5:B,resnet,cv,irrelevant_researcher,validation,5,B,-0.3132617473602295,-1.3132617473602295,-1.0
resnet:irrelevant_researcher:test:6:A,resnet,cv,irrelevant_researcher,test,6,A,-0.00033539868309162557,-8.000335693359375,8.000000294676283
resnet:irrelevant_researcher:test:6:B,resnet,cv,irrelevant_researcher,test,6,B,-0.1602240949869156,-1.9102240800857544,-1.7499999850988388
resnet:irrelevant_researcher:test:7:A,resnet,cv,irrelevant_researcher,test,7,A,-0.005233753472566605,-5.2552337646484375,5.250000011175871
resnet:irrelevant_researcher:test:7:B,resnet,cv,irrelevant_researcher,test,7,B,-0.0015023384476080537,-6.501502513885498,-6.50000017543789
resnet:irrelevant_researcher:test:8:A,resnet,cv,irrelevant_researcher,test,8,A,-0.008614521473646164,-4.758614540100098,4.7500000186264515
resnet:irrelevant_researcher:test:8:B,resnet,cv,irrelevant_researcher,test,8,B,-0.6931471824645996,-0.6931471824645996,0.0
resnet:relevant_practitioner:train:0:A,resnet,cv,relevant_practitioner,train,0,A,-0.00026127262390218675,-8.250261306762695,8.250000034138793
resnet:relevant_practitioner:train:0:B,resnet,cv,relevant_practitioner,train,0,B,-0.011047743260860443,-4.511047840118408,-4.500000096857548
resnet:relevant_practitioner:train:1:A,resnet,cv,relevant_practitioner,train,1,A,-9.60780744208023e-05,-9.250096321105957,9.250000243031536
resnet:relevant_practitioner:train:1:B,resnet,cv,relevant_practitioner,train,1,B,-1.5019290447235107,-0.25192904472351074,1.25
resnet:relevant_practitioner:train:2:A,resnet,cv,relevant_practitioner,train,2,A,-0.00020346954988781363,-8.500203132629395,8.499999663079507
resnet:relevant_practitioner:train:2:B,resnet,cv,relevant_practitioner,train,2,B,-0.10020658373832703,-2.3502066135406494,-2.2500000298023224
resnet:relevant_practitioner:train:3:A,resnet,cv,relevant_practitioner,train,3,A,-0.0015023384476080537,-6.501502513885498,6.50000017543789
resnet:relevant_practitioner:train:3:B,resnet,cv,relevant_practitioner,train,3,B,-0.12692804634571075,-2.1269280910491943,-2.0000000447034836
resnet:relevant_practitioner:validation:4:A,resnet,cv,relevant_practitioner,validation,4,A,-0.00015841660206206143,-8.750158309936523,8.749999893334461
resnet:relevant_practitioner:validation:4:B,resnet,cv,relevant_practitioner,validation,4,B,-0.12692804634571075,-2.1269280910491943,-2.0000000447034836
resnet:relevant_practitioner:validation:5:A,resnet,cv,relevant_practitioner,validation,5,A,-0.0031777145341038704,-5.753177642822266,5.749999928288162
resnet:relevant_practitioner:validation:5:B,resnet,cv,relevant_practitioner,validation,5,B,-2.578889846801758,-0.07888974994421005,2.5000000968575478
resnet:relevant_practitioner:test:6:A,resnet,cv,relevant_practitioner,test,6,A,-0.00033539868309162557,-8.000335693359375,8.000000294676283
resnet:relevant_practitioner:test:6:B,resnet,cv,relevant_practitioner,test,6,B,-0.023245446383953094,-3.773245334625244,-3.749999888241291
resnet:relevant_practitioner:test:7:A,resnet,cv,relevant_practitioner,test,7,A,-0.004078404977917671,-5.504078388214111,5.499999983236194
resnet:relevant_practitioner:test:7:B,resnet,cv,relevant_practitioner,test,7,B,-0.00020346954988781363,-8.500203132629395,-8.499999663079507
resnet:relevant_practitioner:test:8:A,resnet,cv,relevant_practitioner,test,8,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
resnet:relevant_practitioner:test:8:B,resnet,cv,relevant_practitioner,test,8,B,-0.575939416885376,-0.825939416885376,-0.25
resnet:irrelevant_practitioner:train:0:A,resnet,cv,irrelevant_practitioner,train,0,A,-0.0009114163694903255,-7.000911235809326,6.999999819439836
resnet:irrelevant_practitioner:train:0:B,resnet,cv,irrelevant_practitioner,train,0,B,-0.029750416055321693,-3.529750347137451,-3.4999999310821295
resnet:irrelevant_practitioner:train:1:A,resnet,cv,irrelevant_practitioner,train,1,A,-0.0007098776986822486,-7.2507100105285645,7.250000132829882
resnet:irrelevant_practitioner:train:1:B,resnet,cv,irrelevant_practitioner,train,1,B,-0.575939416885376,-0.825939416885376,-0.25
